TypedOpt (SP, JIT, SF)	TypedOpt (SP, JIT)	TypedOpt (SP)	TypedOpt (JIT, SF)	TypedOpt (JIT)	TypedOpt ()	Typed (SP, JIT, SF)	Typed (SP, JIT)	Typed (SP)	Typed (JIT, SF)	Typed (JIT)	Typed ()	Original (JIT, SF)	Original (JIT)	Original ()
0.17	0.18	3.61	0.92	0.88	2.12	0.8	0.81	1.3	0.83	0.74	1.2	0.78	0.75	1.15
0.17	0.18	3.57	0.91	0.88	2.09	0.8	0.8	1.28	0.78	0.74	1.22	0.74	0.73	1.19
0.17	0.18	3.68	0.96	0.88	2.24	0.81	0.8	1.31	0.75	0.77	1.22	0.75	0.72	1.19
0.17	0.17	3.82	0.93	0.9	2.15	0.87	0.86	1.29	0.74	0.76	1.18	0.73	0.73	1.18
0.17	0.17	3.72	0.89	0.9	2.17	0.85	0.8	1.26	0.76	0.77	1.19	0.83	0.76	1.16
0.18	0.18	3.63	0.89	0.9	2.14	0.81	0.81	1.3	0.77	0.75	1.22	0.82	0.72	1.24
0.18	0.16	3.5	0.89	0.89	2.23	0.86	0.79	1.25	0.76	0.75	1.17	0.75	0.72	1.15
0.18	0.17	3.45	0.89	0.93	2.32	0.87	0.83	1.24	0.74	0.77	1.16	0.72	0.76	1.2
0.2	0.17	3.61	0.92	0.88	2.16	0.81	0.81	1.3	0.74	0.74	1.17	0.72	0.72	1.15
0.2	0.18	3.63	0.9	0.92	2.06	0.82	0.83	1.23	0.76	0.76	1.16	0.74	0.73	1.2