Typed (SP, JIT, SF)	Typed (SP, JIT)	Typed (SP)	Typed (JIT, SF)	Typed (JIT)	Typed ()	TypedBasic (SP, JIT, SF)	TypedBasic (SP, JIT)	TypedBasic (SP)	TypedBasic (JIT, SF)	TypedBasic (JIT)	TypedBasic ()	Original (JIT, SF)	Original (JIT)	Original ()
0.57	1.29	7.86	8.36	10.24	16	1.41	2.68	7.67	5.58	7.97	13.32	2.6	3.88	10.17
0.59	1.32	7.92	8.84	9.97	15.73	1.38	2.6	7.9	5.92	7.25	13.59	2.6	4.01	10.18
0.58	1.33	7.89	8.9	10.57	16.2	1.39	2.64	7.74	5.54	7.64	13.83	2.61	4.17	10.73
0.58	1.33	7.92	8.53	10.71	16.71	1.38	2.65	7.8	6.06	7.24	13.95	2.9	3.92	9.96
0.56	1.33	7.83	9.15	9.89	16.62	1.37	2.62	7.68	5.52	7.2	13.5	2.63	3.79	10.04
0.56	1.33	7.97	8.25	10.44	15.65	1.39	2.58	7.8	5.63	7.27	13.52	2.64	3.95	9.99
0.55	1.32	8.18	8.78	10.07	16.22	1.36	2.65	7.79	5.74	7.17	13.34	2.62	3.9	10.16
0.55	1.31	7.85	8.67	10.07	15.73	1.43	2.66	7.82	5.56	7.54	13.68	2.6	3.84	9.69
0.56	1.31	7.96	8.52	10.14	15.82	1.53	2.63	7.9	5.59	6.89	13.79	2.6	4.04	9.82
0.57	1.32	8	8.35	10.57	16.66	1.37	2.71	7.95	5.74	6.91	13.5	2.62	3.85	9.85