Out Static	Out Nonstatic	In Static	In Nonstatic
1	32	0	6
1	8	0	15
0	5	0	308
2	46	0	1
0	16	2	47
23	20	0	753
1	34	21	124
3	37	1	6
3	28	1	9
6	34	0	49
0	4	0	18
4	25	0	2
0	6	1	6
3	20	5	34
7	13	0	7
0	12	19	413
0	13	0	6
0	14	0	2
4	7	2	1
2	7	0	1
8	66	0	1
6	50	0	2
10	96	0	6
17	140	0	6
6	29	0	8
3	23	0	2
1	10	2	5
1	36	0	3
2	165	447	2621
1	60	5	99
0	7	2	2
5	67	0	395
9	9	26	2055
3	9	7	18
18	49	5	13
4	15	3	31
4	7	2	1
1	7	8	378
6	3	0	6
3	11	8	502
1	4	2	0
3	25	0	2
0	13	0	5
3	43	8	1562
1	9	0	1
0	21	0	5
0	12	0	1
0	46	0	2
0	9	0	1
0	19	0	2
0	13	0	2
0	11	0	1
1	12	0	1
1	13	0	1
0	13	0	1
1	11	0	1
1	26	0	3
3	31	2	22
0	9	0	1
0	13	0	1
0	9	0	1
1	6	0	2
0	10	0	3
6	52	0	3
0	10	2	43
3	37	1	20
7	47	0	34
1	9	0	1
0	2	2	4
12	23	6	18
22	48	1	16
3	12	0	0
3	12	0	1
3	12	1	0
3	12	0	1
3	12	0	0
3	12	0	2
3	12	0	0
3	12	0	4
3	12	0	1
3	12	0	1
3	12	0	1
3	12	0	1
3	12	0	1
3	12	0	1
3	12	0	0
3	12	1	0
3	12	0	1
3	12	0	3
3	12	0	2
3	12	0	1
3	12	0	3
3	12	0	2
3	12	0	1
3	12	0	0
3	12	1	1
3	12	0	1
3	12	0	1
3	12	0	1
3	12	0	1
3	12	0	4
3	12	0	1
3	12	0	0
3	12	0	1
3	12	0	0
3	12	0	2
3	12	0	1
3	12	0	2
3	12	0	1
3	12	0	1
3	12	0	0
3	12	0	1
3	12	0	0
3	12	0	0
3	12	0	2
3	12	0	1
3	12	0	1
3	12	0	2
3	12	0	0
3	12	0	2
3	12	0	1
3	12	0	1
3	12	0	2
3	12	1	1
3	12	0	2
3	12	0	2
3	12	1	3
3	12	0	1
3	12	0	1
3	12	0	2
3	12	0	1
3	12	0	1
3	12	0	1
3	12	0	1
3	12	0	1
3	12	0	1
3	12	0	2
3	12	0	1
3	12	0	0
3	12	0	2
3	12	0	1
3	12	0	2
3	12	0	2
3	12	0	3
3	12	0	2
3	12	1	4
3	12	0	3
3	12	0	1
3	12	0	8
3	12	0	4
3	12	0	1
3	12	0	2
3	12	0	0
3	12	0	2
3	12	0	0
3	12	0	2
3	12	0	3
3	12	0	3
3	12	0	1
3	12	0	1
3	12	0	1
3	12	0	3
3	12	0	1
3	12	0	4
3	12	0	0
3	12	1	0
3	12	0	0
3	12	0	0
3	12	0	22
3	12	0	2
3	12	0	1
3	12	0	1
3	12	0	1
3	12	0	2
3	12	0	0
3	12	0	0
3	12	0	1
3	12	0	1
3	12	0	1
3	12	0	2
3	12	0	2
3	12	0	2
3	12	0	1
3	12	0	2
3	12	0	17
3	12	0	2
3	12	0	0
3	12	0	4
3	12	0	0
3	12	0	0
3	12	0	0
3	12	0	0
3	12	0	0
3	12	0	2
3	12	0	0
3	12	0	1
3	12	0	4
3	12	0	0
3	12	0	0
3	12	0	1
3	12	0	0
3	12	0	2
3	12	0	1
3	12	0	1
3	12	0	0
3	12	0	1
3	12	0	0
3	12	0	0
3	12	0	5
3	12	0	2
3	12	0	1
3	12	0	0
3	12	0	1
3	12	0	1
3	12	0	0
3	12	1	1
3	12	0	1
3	12	0	1
3	12	0	1
3	12	0	2
3	12	0	1
3	12	0	4
3	12	0	1
3	12	0	1
3	12	0	1
3	12	0	3
3	12	0	1
3	12	0	1
3	12	0	0
3	12	0	1
3	12	0	2
3	12	0	2
3	12	0	2
3	12	0	0
3	12	0	0
3	12	0	3
3	12	0	0
3	12	0	3
3	12	0	1
3	12	0	0
3	12	0	0
3	12	0	2
3	12	0	1
3	12	0	3
3	12	0	0
3	12	0	0
3	12	0	2
3	12	0	2
3	12	0	1
3	12	0	1
3	12	0	2
3	12	0	2
3	12	0	2
3	12	0	1
3	12	1	3
3	12	0	1
3	12	0	1
3	12	0	0
3	12	0	2
3	12	0	2
3	12	0	1
3	12	0	0
3	12	0	2
3	12	0	1
3	12	0	1
3	12	0	7
3	12	0	2
3	12	0	2
3	12	0	6
3	12	0	1
3	12	0	1
3	12	0	2
3	12	0	1
3	12	0	2
3	12	0	2
3	12	0	5
3	12	0	4
3	12	0	0
3	12	0	6
3	12	0	4
3	12	0	1
3	12	0	2
3	12	0	2
3	12	0	2
3	12	0	7
3	12	0	1
3	12	0	2
3	12	0	2
3	12	0	2
3	12	0	2
3	12	0	6
3	12	0	0
3	12	0	0
3	12	0	0
3	12	0	1
3	12	0	0
3	12	0	0
3	12	0	2
3	12	0	0
3	12	0	9
3	12	0	0
3	12	0	0
3	12	0	0
3	12	0	2
3	12	0	1
3	12	0	0
3	12	0	0
3	12	0	0
3	12	1	6
3	12	0	2
3	12	0	1
3	12	0	0
3	12	0	1
3	12	0	2
3	12	0	0
3	12	0	2
3	12	0	2
3	12	0	2
3	12	0	1
3	12	0	0
3	12	0	0
3	12	0	3
3	12	0	0
3	12	0	1
3	12	0	0
3	12	0	0
3	12	0	1
3	12	0	0
3	12	0	1
3	12	0	1
3	12	0	2
3	12	0	0
3	12	0	2
3	12	0	3
3	12	0	4
3	12	0	8
3	12	0	0
3	12	1	1
3	12	0	5
3	12	0	4
3	12	0	3
3	12	0	4
3	12	0	2
3	12	0	3
3	12	0	3
3	12	0	1
3	12	0	0
3	12	0	1
3	12	0	1
3	12	0	2
3	12	0	2
3	12	0	1
3	12	0	0
3	12	0	2
3	12	0	2
3	12	0	2
3	12	0	3
3	12	0	2
3	12	0	2
3	12	0	3
3	12	0	0
3	12	0	1
3	12	0	4
3	12	0	2
3	12	0	2
3	12	0	11
3	12	0	3
3	12	0	6
3	12	0	2
3	12	0	1
3	12	0	1
3	12	0	1
3	12	0	1
3	12	0	2
3	12	0	1
3	12	0	3
3	12	0	2
3	12	0	4
3	12	0	1
3	12	0	1
3	12	0	2
3	12	0	1
3	12	0	0
3	12	0	0
3	12	0	2
3	12	0	0
3	12	0	4
3	12	0	1
3	12	0	2
3	12	0	0
3	12	0	2
3	12	0	1
3	12	0	1
3	12	0	1
3	12	0	4
3	12	0	0
3	12	0	2
3	12	0	2
3	12	0	2
3	12	0	1
3	12	0	2
3	12	0	2
3	12	0	2
3	12	0	1
3	12	0	0
3	12	0	4
3	12	0	0
3	12	0	1
3	12	0	12
3	12	0	4
3	12	0	1
3	12	0	0
3	12	0	3
3	12	0	0
3	12	0	14
3	12	0	2
3	12	0	1
3	12	0	0
3	12	0	0
3	12	0	0
3	12	0	1
3	12	0	1
3	12	0	1
3	12	0	1
3	12	0	1
3	12	0	1
3	12	0	1
3	12	0	5
3	12	0	2
3	12	0	1
3	12	0	1
3	12	0	0
3	12	0	1
3	12	0	2
3	12	0	3
3	12	0	5
3	12	0	2
3	12	0	2
3	12	0	1
3	12	0	1
3	12	0	0
3	12	0	6
3	12	0	0
3	12	0	0
3	12	0	1
3	12	0	0
3	12	0	2
3	12	0	0
3	12	0	0
3	12	0	2
3	12	0	0
3	12	0	1
3	12	0	1
3	12	0	1
3	12	0	0
3	12	0	1
3	12	0	4
3	12	0	3
3	12	0	0
3	12	0	3
3	12	0	0
3	12	0	2
3	12	0	2
3	12	0	4
3	12	0	2
3	12	0	2
3	12	0	0
3	12	0	0
3	12	0	0
3	12	0	1
3	12	0	6
3	12	0	2
3	12	0	1
3	12	0	2
3	12	0	1
3	12	0	2
3	12	0	2
3	12	0	0
3	12	0	0
3	12	0	1
3	12	0	2
3	12	0	0
6	24	412	16
4	19	0	3
4	6	1	4
0	15	11	6
0	3	3	0
1	13	1	13
2	8	9	13
9	31	5	51
6	22	5	1
1	12	2	3
4	53	5	651
14	202	8	330
5	47	6	106
0	8	3	102
21	281	4	274
1	7	2	1
0	28	1	14
9	77	0	38
9	136	0	36
4	71	1	351
0	4	0	0
0	10	0	2
6	50	5	22
0	3	1	3
0	8	0	11
4	33	2	42
5	12	0	3
0	11	6	21
19	67	11	1086
5	22	3	17
9	16	5	25
0	29	0	1
0	3	0	1
0	0	0	2
6	7	0	335
0	9	0	1
1	8	0	9
4	29	8	452
1	4	0	1
0	9	0	3
0	4	0	2
2	22	7	29
4	33	0	109
0	10	0	9
2	20	2	98
2	5	3	393
0	6	0	4
0	9	0	2
0	28	438	1480
2	17	10	316
1	18	0	17
3	10	8	371
4	25	2	432
0	3	0	2
0	7	0	5
0	9	2	2
4	17	55	4254
0	11	3	13
0	79	0	4